slug,name,description
coder,Start developing apps faster with ues.io,"In this guide we'll go over the basics of signing up for a ues.io account, logging in, and creating your first app. We'll also cover setting up your development environment with the right programs and tools."
no-coder,Get started creating apps with ues.io,"You're on your way to building apps with ues.io! In this track, we'll go over the basics of signing up for a ues.io account, logging in, and creating your first app. Along the way we'll explain the important concepts you'll need to know."
